trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-7.9197724510009895,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",30,0,-180.1063960188148,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,0,-31.612167275318026,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",35,0,-67.71427578394437,"{0: 26, 1: 4, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,0,-43.88780265144592,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-22.39273228613186,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,0,-53.29261297697836,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,12,2.939716692177166,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",30,8,-21.35811555916953,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",35,0,-112.57785830415537,"{0: 21, 1: 7, 2: 5, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",30,3,-71.33330890234126,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 2}",1
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,8,-76.81478065284342,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 1}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,0,-68.51759722548053,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,6,-13.005474514586634,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",30,2,-172.16610538597115,"{0: 14, 1: 3, 2: 7, 3: 3, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-14.170835245570885,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,13,-1.7500761038566979,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,0,-53.00359964518968,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,-28.188791390745298,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,9,-11.495538255246768,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",30,0,-22.249168348532667,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,6,-71.36421882406968,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",30,0,-118.36593358725104,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,0,-62.776442365380625,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,0,23.83781848412526,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",30,13,-126.65020257039542,"{0: 9, 1: 4, 2: 0, 3: 2, 4: 2}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-135.8426345328317,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,0,-2.6228917748216913,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,11,-23.980695026593096,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",30,0,-153.98849710370047,"{0: 20, 1: 3, 2: 2, 3: 3, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,1,3.6645784629196965,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-47.39074913339882,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",30,0,3.3759382665257136,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,6,-4.408496687092331,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,8,-15.320068471558413,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-68.57695817290869,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,0,-54.57569169804237,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,0,4.960614273120398,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,14,5.750656801343837,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",30,10,-49.91431079057191,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,12,6.941849195456472,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,0,-36.79161607707492,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,0,-14.026585011263215,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,0,-15.133940148465532,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,0,-108.17340028974618,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",30,13,28.607976682841475,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,5,-11.060080314207275,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,4,-54.08098016828046,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,0,-51.96501023163092,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,0,23.93741180423998,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,0,-62.279524308038646,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,10,4.813305384027355,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,6,15.408636325402131,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,12,-45.674966777596765,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,0,31.574839682906692,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,0,-12.788710433036405,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",25,5,-3.30510912698871,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,0,-2.3476108027844536,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,2,-42.67763225331519,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,18,15.160727112583482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,3,-67.37876140122779,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",35,0,-64.03366945215804,"{0: 27, 1: 3, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",30,1,-20.082902289809,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,10,17.0965650745704,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,7,-24.33305044974388,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,8,-16.073405206654023,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",25,0,-23.699287765258077,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,6,-20.038465350063433,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",30,0,-97.9917285924891,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,11,-1.3393665000035413,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,13,0.15259977611576137,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,0,28.14213338716045,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,0,22.518680970893968,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",25,8,6.717153893137166,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",30,12,-17.267148380253172,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
